Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
Queen's University;Canada;North America;Partner University;Bachelor/Master;September - December, January - April;"Bachelor: 6; Master: 4";"Master in MBA or MIB; TOEFL or IELTS required";https://www.queensu.ca;44.28232988;-76.50612751;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of British Columbia, Faculty of Commerce and Business Administration;Canada;North America;Partner University;Bachelor;January - April;Bachelor: 2;"Spring semester only; Economics courses not available at UVIC";https://www.grad.ubc.ca/prospective-students/faculties/faculty-commerce-business-administration;49.2649779;-123.2529678;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
York University, Schulich School of Business;Canada;North America;Partner University;Bachelor/Master;August - December, January - April;Bachelor: 4, Master: 2;;https://schulich.yorku.ca;43.77337417;-79.49807461;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Toronto, Rotman School of Management;Canada;North America;Partner University/Freemover;Master;September - December, January - April;Master: 4;Two years work experience recommended;https://www.rotman.utoronto.ca;43.66537809;-79.3977979;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Western Ontario, Richard Ivey Business School;Canada;North America;Partner University/CEMS;Bachelor/Master;January - April, September - December;"Bachelor: 4; Master: 2; CEMS: 1 autumn semester / 2 spring semester";"More course availability in Spring; Full course load required";https://www.ivey.uwo.ca;43.07050171;-81.26623165;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
York University, Osgoode Hall Law School;Canada;North America;Partner University;Bachelor/Master;August - December, January - April;Master: 1;"TOEFL subscore min: 22/writing, 22/speaking; Law only";https://www.osgoode.yorku.ca;43.77071709;-79.5049612;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Université Laval;Canada;North America;Partner University;Bachelor/Master;September - December, January - April;"Bachelor: 1; Master: 1";"Courses in French and English; Master primarily in French";https://www.ulaval.ca;46.80049917;-71.20638137;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Victoria, Peter B. Gustavson School of Business;Canada;North America;Partner University;Bachelor;September - December, January - April;Bachelor: 4;Economics courses not available;http://www.uvic.ca/gustavson/;48.46526153;-123.3130005;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
HEC Montréal;Canada;North America;Partner University;Bachelor/Master;August - December, January - April;"Bachelor: 1; Master: no";"Courses in French and English; Master in French only";https://www.hec.ca;45.50370668;-73.62094584;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Pontificia Universidad Católica de Chile, Facultad de Historia, Geografía y Ciencia Política;Chile;South America;Partner University;Bachelor/Master;August - December, March - July;"Bachelor: 1; Master: no";Spanish B1 at time of HSG application deadline - language B1 level (or higher) confirmation letter from Centro Latin Americano (CLS) of the University of St. Gallen is sufficient. Spanish B2 at time of host university application deadline;https://historiageografiaycienciapolitica.uc.cl;-33.49717242;-70.61271393;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
