Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
MGIMO University, Moscow State Institute of International Relations;Russia;Europe;Partner University;Bachelor/Master;September - January, February - June;Bachelor: no, Master: no;"Partnership suspended; Russian B2 recommended";https://english.mgimo.ru;55.67293933;37.48531636;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
St. Petersburg State University, School of International Relations;Russia;Europe;Partner University;Bachelor/Master;September - January, January - June;Bachelor: no, Master: no;"Partnership suspended; Russian B1 for Bachelor, English for Master";https://sir.spbu.ru;59.95282124;30.40240703;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Nanyang Technological University;Singapore;Asia;Partner University;Bachelor/Master;"Bachelor: August - December, January - May; Master: July - October, November - February, March - July";Bachelor: 12, Master: no;"Bachelor min. grade 4.9; Master 2 years work experience; No Singapore nationals, Master (SIM only)";https://www.ntu.edu.sg;1.348588771;103.6820833;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
National University of Singapore, NUS Business School;Singapore;Asia;Partner University/CEMS;Bachelor/Master;August - November, January - April;Bachelor: 8, Master: 2, CEMS: 1 per term;"Work experience 2 years post-Bachelor; No prior study in Singapore; No Singapore nationals for CEMS";https://bschool.nus.edu.sg;1.292795747;103.7747416;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Singapore Management University;Singapore;Asia;Partner University;Master;August - November, January - April;N/A;;https://www.smu.edu.sg;1.296455042;103.8506621;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
National University of Singapore, Lee Kuan Yew School of Public Policy;Singapore;Asia;Partner University;Master;August - November;Master: 2 ;Autumn semester only, Only MIA students;https://lkyspp.nus.edu.sg;1.319272319;103.8178428;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Singapore Management University, School of Law;Singapore;Asia;Partner University;Master;August - November;N/A;Autumn semester only, Only Themis Programme master students;https://law.smu.edu.sg;1.295065268;103.8502025;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Cape Town;South Africa;Africa;Partner University/Freemover;Master;October to December, March to June;CEMS: 1 per term;Only possible on Bachelor's level;https://uct.ac.za;-33.95747399;18.46213251;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of the Witwatersrand, Wits School of Business;South Africa;Africa;Partner University;Master;July - November, January - June;Master: 2;Only courses within the MBA programme available;https://www.wbs.ac.za;-26.18125736;28.03722545;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Yonsei University, School of Business;South Korea;Asia;Partner University;Bachelor;September - December, March - June;Bachelor: no;;https://ysb.yonsei.ac.kr/default.asp?lang=e;37.56507543;126.9397533;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Yonsei University, Graduate School of International Studies;South Korea;Asia;Partner University;Master;N/A;N/A;For MIA double degree programme only;https://gsis.yonsei.ac.kr/gsis/index.do;37.56638393;126.9436375;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Korea University Business School (KUBS);South Korea;Asia;CEMS/Freemover;Master;August - December, February - June;CEMS: 1 per term;Only possible on Bachelor's level;https://biz.korea.ac.kr/main/main.html;37.58958311;127.0329923;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Seoul National University, College of Business Administration;South Korea;Asia;Partner University;Bachelor/Master;September - December, March - June;Bachelor: 2, Master: 2;"Min. HSG grade 5.00; Business Administration and Economics students only";https://cba.snu.ac.kr/en;37.46587178;126.9521489;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
KAIST Business School, College of Business;South Korea;Asia;Partner University;Master;September - December, March - June;Master: 2;"Min. HSG grade 5.00; Enrolled at least one year in Master's before exchange";https://www.business.kaist.edu;37.59268029;127.047262;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Hanyang University;South Korea;Asia;Partner University;Bachelor;August - December, March - June;Bachelor: 3;;https://www.hanyang.ac.kr/web/eng;37.55744083;127.0464963;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
IE University, School of Business;Spain;Europe;Partner University;Bachelor/Master;August - December, January - June;Bachelor: 4, Master: 2 ;"Master can only take electives within IE MIM; Max 18 ECTS";https://www.ie.edu/business-school/;40.74222589;-2.184652857;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
IE University, School of Global & Public Affairs;Spain;Europe;Partner University;Bachelor/Master;August - December, April - July;Bachelor: 2, Master: 2 ;"Max 18 ECTS; Only Spring term for Master";https://landings.ie.edu/schoolland-ie-school-politics-economics-global-affairs-cro?gclsrc=aw.ds&gad_source=1&gclid=Cj0KCQjwlN6wBhCcARIsAKZvD5gLBybhDbAqcop3Puq711RssZob4zuB-_9pgi7qB_aOh4_S_pN1W0YaApzuEALw_wcB;40.43826695;-3.687035796;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
ESADE, School of Global Governance, Economics and Law;Spain;Europe;Partner University;Bachelor/Master;September - January, February - June;Bachelor: 6, Master: N/A;"Spanish B2 for Spanish courses; At least 27 ECTS";https://www.esade.edu/bachelor/en/programmes/global-governance;40.47004717;-3.674357776;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
ESADE, Business School;Spain;Europe;Partner University/CEMS;Bachelor/Master;September - December, January - June;Bachelor: 6, CEMS: 1 autumn semester / 2 spring semester;At least 27 ECTS required;https://www.esade.edu/en;40.46952481;-3.67487276;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad Pompeu Fabra;Spain;Europe;Partner University/Freemover;Bachelor;October - December, January- March, April - June;Bachelor: 4;Only possible on Master's level;https://www.upf.edu;41.37912788;2.180931653;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad de Las Palmas de Gran Canaria;Spain;Europe;Partner University;Bachelor;September - January, January - June;Bachelor: no;Spanish B1 required;https://www.ulpgc.es;28.09945993;-15.4183394;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad de Navarra, Facultad de Ciencias Económicas y Empresariales;Spain;Europe;Partner University;Bachelor;September - December, January - May;Bachelor: 4;;https://www.unav.edu/web/facultad-de-ciencias-economicas-y-empresariales;42.80162661;-1.659158296;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad de Oviedo, Facultad de Derecho;Spain;Europe;Partner University;Bachelor/Master;September - December, January - May;Bachelor: 2, Master: 2;"Spanish B2 required; All courses in Spanish";https://derecho.uniovi.es;43.35475089;-5.872342881;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Jönköping International Business School;Sweden;Europe;Partner University;Bachelor/Master;August - December, January - June;Bachelor: 3, Master: 3;;https://ju.se/en/about-us/jonkoping-international-business-school.html;57.77846185;14.16307984;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Göteborg University, School of Business, Economics and Law;Sweden;Europe;Partner University;Bachelor/Master;September - January, January - June;Bachelor: 3, Master: 5;Limited law courses in English;https://www.gu.se/en/school-business-economics-law;57.69742044;11.96176985;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Lund University, School of Business and Management;Sweden;Europe;Partner University;Bachelor/Master;August - January, January - June;Bachelor: 5, Master: 3 ;;https://www.lusem.lu.se;55.70961318;13.21297837;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Stockholm School of Economics;Sweden;Europe;Partner University/CEMS;Bachelor/Master;August - January, January - June;Bachelor: 4, Master: 6, CEMS: 2 autumn semester / 1 spring semester;;https://www.hhs.se;59.45062863;18.56250713;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
IHEID, Université de Genève;Switzerland;Europe;Partner University;Master;September - December, February - May;Master: 2 ;"For MIA only; MLaw and MLE: law courses available";https://www.graduateinstitute.ch/fr/discover-institute;46.22094859;6.144326913;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
EPFL - Ecole polytechnique fédérale de Lausanne;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - May;N/A;"B2 in French (Bachelor), B2 in English (Master); MTE and FE departments not open to HSG";https://www.epfl.ch/de/;46.51915165;6.567401327;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
ETHZ - Eidg. Techn. Hochschule Zürich;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - May;N/A;"Technical/natural sciences background required; D-GESS closed to HSG; Minimum 20 ECTS";https://ethz.ch/de.html;47.37653418;8.547842573;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universität Bern;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - May ;N/A;;https://www.unibe.ch;46.95048865;7.438604821;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universität Basel;Switzerland;Europe;Partner University;Bachelor/Master;N/A;N/A;;https://www.unibas.ch/de.html;47.55862943;7.584287621;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Université de Fribourg;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - June;N/A;"English B2; CHF 2.00 per confirmed ECTS";https://www.unifr.ch/home/de/;46.80647447;7.151372995;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Université de Genève;Switzerland;Europe;Partner University;Bachelor/Master;September - February, February - June;N/A;"French B2 recommended; French test during registration";https://www.unige.ch;46.19959992;6.145512664;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Université de Lausanne;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - May;N/A;"B2-C1 in French; English for courses in English";https://www.unil.ch/index.html;46.52121497;6.580697038;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universität Luzern;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - June;N/A;;https://www.unilu.ch;47.04957231;8.313251058;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Université de Neuchâtel;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - June;N/A;French B2;https://www.unine.ch;46.99405248;6.940484087;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universität Zürich;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - June;N/A;;https://www.uzh.ch/de.html;47.37531615;8.554499387;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Università della Svizzera italiana;Switzerland;Europe;Partner University;Bachelor/Master;September - December, February - May ;N/A;B2 in English/Italian;https://www.usi.ch/it;46.01089436;8.958906915;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
National Taiwan University, College of Law;Taiwan;Asia;Partner University;Master;September - January;N/A;"autumn semester only; English for fall courses";https://admissions.ntu.edu.tw/colleges/college-of-law/#:~:text=The%20College%20of%20Law%20of,learning%20of%20traditional%20legal%20studies.;25.02081223;121.5448513;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
National Taiwan University;Taiwan;Asia;Partner University;Bachelor/Master;September - January, February - June;Bachelor: 3, Master: 5;;https://www.google.com/search?client=safari&rls=en&q=National+Taiwan+University&ie=UTF-8&oe=UTF-8;25.01754465;121.5406101;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
National Chengchi University, College of Commerce;Taiwan;Asia;Partner University;Bachelor/Master;September - January, February - June;Bachelor: 2, Master: 4;;https://commerce.nccu.edu.tw/?locale=en;24.98664483;121.5773518;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Dar Es Salaam;Tanzania;Africa;Partner University;Bachelor/Master;November - March, March- July;Bachelor: no, Master: no;;https://www.udsm.ac.tz;-6.789779008;39.21472352;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Chulalongkorn University, Faculty of Economics;Thailand;Asia;Partner University;Bachelor/Master;August - December, January - May;Bachelor: 1, Master: 1;"Courses on weekends; Economic programmes only";https://www.chula.ac.th/en/academic/faculty-of-economics/;13.73457239;100.5310278;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Thammasat University, Faculty of Economics;Thailand;Asia;Partner University;Bachelor;August - December, January - May;Bachelor: 3;Economic programmes only;https://www.econ.tu.ac.th/en/home;13.78202161;100.4431955;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Chulalongkorn University;Thailand;Asia;Partner University;Bachelor/Master;"August - December, January - May; August - November, December - March, March -Mai";Bachelor: 1, Master: 3;"Min. grade average 4.65; Additional fees for MM programme";https://www.chula.ac.th/en/;13.73931054;100.5274636;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Thammasat University, Thammasat Business School;Thailand;Asia;Partner University;Bachelor/Master;August - December, January - May;Bachelor: 2, Master: 2;;https://www.tbs.tu.ac.th/en/aboutus/thammasat-business-school/;13.75649848;100.4912411;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Boğaziçi University, School of Management;Turkey;Europe;Partner University;Bachelor/Master;September - January, January - May;Total: 4;;https://mgmt.bogazici.edu.tr;41.08376872;29.05211825;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Koç University;Turkey;Europe;Partner University/CEMS;Bachelor/Master;September - January, February - June;Total: 4, CEMS: 1 per term;;https://www.ku.edu.tr;41.21098321;29.04082581;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
American University in Dubai;United Arab Emirates;Asia;Partner University;Bachelor;September - December, January - April, May - June, July - August;Bachelor: no;TOEFL required for English proficiency;https://www.aud.edu;25.09100397;55.15830571;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
London Business School;United Kingdom;Europe;Partner University;Master;"end of August - mid-December;  January - March; Summer: March - June";Master: 2;"Enrolled exclusively in MiM; Electives within MiM portfolio";https://www.london.edu/?utm_source=google&utm_medium=ppc&utm_campaign=MC_BRBRAND_ppc_google&sc_camp=760e17bef14a4b399386ef32e55393a8&gad_source=1&gclid=Cj0KCQjwlN6wBhCcARIsAKZvD5g_DaCg-Ccb5_oq2J_cQatyCQzP9IU3jp7TFRMKNdP4UtlgetRoeyUaAqxMEALw_wcB&gclsrc=aw.ds;51.5575569;-0.045818959;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Imperial College Business School;United Kingdom;Europe;Partner University;Master;January - March;Master: 2;"Spring semester only; TOEFL min. 100 points; Max 20 ECTS";https://www.imperial.ac.uk/business-school/;51.49945019;-0.173927696;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
The University of Edinburgh;United Kingdom;Europe;Partner University;Bachelor/Master;September - December, January - May;Bachelor: 6, Master: no;Courses only in business area;https://www.ed.ac.uk;55.94461791;-3.188361538;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
London School of Economics;United Kingdom;Europe;Partner University/CEMS;Bachelor/Master;September - December, January - April;Bachelor: 4, CEMS: 1 per term;Courses within the Department of Management only;https://www.lse.ac.uk;51.51453225;-0.116118709;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Lancaster University Management School;United Kingdom;Europe;Partner University;Bachelor/Master;"Bachelor: September - June; Master: October - December, April - June";Bachelor: 2, Master: 6;"Master: Apply for specific programme; English certificate <= 2 years";https://www.lancaster.ac.uk/lums/;54.00760661;-2.786948071;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Manchester, Alliance Manchester Business School;United Kingdom;Europe;Partner University;Bachelor/Master;September - January, February - June;Bachelor: 1, Master: 1;;https://www.alliancembs.manchester.ac.uk;53.46783764;-2.235362053;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Warwick, Warwick Business School (WBS);United Kingdom;Europe;Partner University;Bachelor/Master;October - December, January - March, April - July;Bachelor: 6, Master: no;;https://www.wbs.ac.uk;52.38247325;-1.565998812;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad de Montevideo;Uruguay;South America;Partner University;Bachelor/Master;August - December, March - August;Bachelor: 1, Master: no;"Spanish B1 at application; Most courses in Spanish";https://www.um.edu.uy;-34.89771898;-56.15955023;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Columbia University, Graduate School of Business;USA;North America;Partner University;Master;September - December, January - May;Master: 1;TOEFL or IELTS required;https://business.columbia.edu;40.81833005;-73.9590255;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of South Carolina,Darla Moore School of Business;USA;North America;Partner University;Bachelor;August - December, January - May;Bachelor: 4;"$200 fee; TOEFL or IELTS required";https://sc.edu/study/colleges_schools/moore/index.php;33.99461022;-81.03285695;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
George Washington University;USA;North America;Partner University;Master;August - December, January - May;Master: 1;TOEFL or IELTS required;https://www.gwu.edu;38.89985642;-77.04833098;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Bentley University;USA;North America;Partner University;Bachelor/Master;September - December, January - May;Bachelor: 3, Master: 3;Only TOEFL or IELTS accepted;https://www.bentley.edu;42.38566679;-71.22144698;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Cornell University, Charles H. Dyson School of Applied Economics and Management;USA;North America;Partner University/CEMS;Master;Fall Term: Augustr to December, Spring Term: January to May;CEMS: 1 per term;;https://dyson.cornell.edu;42.44934197;-76.47656336;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Northwestern University, Kellogg Graduate School of Management;USA;North America;Partner University;Master;January - March, March - June, September - December;Master: 1;"Two years full-time work experience preferred; Only TOEFL or IELTS accepted";https://www.kellogg.northwestern.edu;41.89630767;-87.61984246;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Pepperdine University, Graziado School of Business;USA;North America;Partner University;Master;August - December, January - April, May - August;Master: 2 ;Only TOEFL or IELTS accepted;https://bschool.pepperdine.edu;33.97727643;-118.3921204;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Emory University, Goizueta Business School;USA;North America;Partner University;Bachelor/Master;August - December, January - May;Bachelor: 4, Master: 1;Only TOEFL or IELTS accepted;https://goizueta.emory.edu;33.79024102;-84.32284472;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Dartmouth Tuck School of Business;USA;North America;Partner University;Master;September - December, January - March;Master: 4;Only TOEFL or IELTS accepted;https://www.tuck.dartmouth.edu;43.70559304;-72.29357672;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Tufts University;USA;North America;Partner University/Freemover;Master;N/A;N/A;For MIA and MIL double degree programmes only.;https://www.tufts.edu;42.41373351;-71.10591328;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Santa Clara University, School of Law;USA;North America;Partner University;Bachelor/Master;September - December, January - March, June - September;Master: 2;"Bachelor: BLS-BLE only; Master: MLS-MLE-MIL only; Possibility for application for a second semester as tuition fee paying LL.M. student; Only TOEFL or IELTS accepted";https://law.scu.edu;38.21922053;-118.3350312;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Texas at Austin, School of Law;USA;North America;Partner University;Bachelor/Master;August - December, January - May;Master: 2;"Bachelor: BLS-BLE only; Master: MLS-MLE-MIL only; All incoming exchange students take a course 'foundational knowledge about the U.S. legal system'; Only TOEFL or IELTS accepted";https://law.utexas.edu;30.28856787;-97.73046164;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Babson College;USA;North America;Partner University;Bachelor/Master;September - December, January - May;Bachelor: 2, Master: 4;"Master: Two years full-time work experience highly recommended; Only TOEFL or IELTS accepted";https://www.babson.edu;42.30229713;-71.24363419;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
